Volcano Number,Volcano Name,Country,Location,Latitude,Longitude,Elevation (m),Type,TypeCategory,Status,Last Known Eruption,Description
250010.0,St. Andrew Strait,Papua New Guinea,Admiralty Is-SW Paci,-2.38,147.35,270.0,Complex volcano,Stratovolcano,Historical,D2,"A volcano with multiple vents and edifice structures, showing mixed behaviours over time."
250020.0,Baluan,United States,Admiralty Is-SW Paci,-2.57,147.28,254.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
250030.0,Central Bismarck Sea,United States,Admiralty Is-SW Paci,-3.03,147.78,-1300.0,Submarine volcano,,Hydrophonic,D1,Same as 'Submarine' – underwater/partly underwater volcanic edifice.
,Dacht-I-Navar Group,Afghanistan,Afghanistan,33.95,67.92,3800.0,Lava dome,Cone,Holocene,U,"A rounded mound formed by highly viscous lava extruding slowly, building up near the vent."
,Vakak Group,Afghanistan,Afghanistan,34.25,67.97,3190.0,Volcanic field,Crater System,Holocene,U,A non‐single edifice area of volcanic activity – many vents & volcanoes across an area.
223040.0,Karisimbi,"Congo, DRC",Africa-C,-1.506,29.45,4490.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
,May-ya-moto,"Congo, DRC",Africa-C,-0.93,29.33,950.0,Fumarole field,Other / Unknown,Fumarolic,Unknown,"An area where volcanic gases and steam escape through surface vents, without major lava flows."
223020.0,Nyamulagira,"Congo, DRC",Africa-C,-1.408,29.2,3058.0,Shield volcano,Shield Volcano,Historical,D1,Same as 'Shield' – a volcano with broad profile from many fluid lava flows.
223030.0,Nyiragongo,"Congo, DRC",Africa-C,-1.52,29.25,3470.0,Stratovolcano,Stratovolcano,Historical,D1,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
223080.0,Tshibinda,"Congo, DRC",Africa-C,-2.32,28.75,1460.0,Cinder cone,Cone,Holocene,U,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
223050.0,Visoke,Rwanda,Africa-C,-1.458,29.485,3696.0,Stratovolcano,Stratovolcano,Historical,D2,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
223070.0,Bufumbira,Uganda,Africa-C,-1.304,29.683,2100.0,Cinder cone,Cone,Holocene,Unknown,"A small, steep conical hill built from volcanic fragments (scoria) erupted from a single vent."
223004.0,Bunyaruguru,Uganda,Africa-C,-0.2,30.08,1554.0,Explosion crater,Crater System,Holocene,U,"A crater formed by explosive activity, often shallow, sometimes from phreatic interactions."
223001.0,Fort Portal,Uganda,Africa-C,0.7,30.25,1615.0,Tuff cone,Maars / Tuff ring,Holocene,U,"A volcanic cone formed by explosive interaction of magma and water, with fine‐grained tuff deposits."
223005.0,Katunga,Uganda,Africa-C,-0.471,30.191,1707.0,Tuff cone,Maars / Tuff ring,Holocene,U,"A volcanic cone formed by explosive interaction of magma and water, with fine‐grained tuff deposits."
223003.0,Katwe-Kikorongo,Uganda,Africa-C,-0.08,29.92,1067.0,Tuff cone,Maars / Tuff ring,Holocene,U,"A volcanic cone formed by explosive interaction of magma and water, with fine‐grained tuff deposits."
223002.0,Kyatwa,Uganda,Africa-C,0.45,30.25,1430.0,Tuff cone,Maars / Tuff ring,Holocene,Unknown,"A volcanic cone formed by explosive interaction of magma and water, with fine‐grained tuff deposits."
223060.0,Muhavura,Uganda,Africa-C,-1.383,29.678,4103.0,Stratovolcano,Stratovolcano,Holocene,U,"A tall, conical volcano built by many layers of hardened lava, tephra, and volcanic ash."
